X,Y,OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
6.9447220005314,46.8130560005571,158,X_CH0002R,Payerne,6.944722,46.813056,489,background,rural,9.748889
8.46388899990308,47.0675000004642,159,X_CH0005R,Rigi,8.463889,47.0675,1031,background,rural,5.774699
21.1730559994838,56.1619440009374,160,X_LV0010R,Rucava,21.173056,56.161944,18,background,rural,10.848464
22.0666670004965,54.1500000004305,161,X_PL0005R,Diabla Gora,22.066667,54.15,157,background,rural,12.486371
13.6147766145871,49.0684269423546,162,Y_CZ0CCHU,Churanov,13.614777,49.068427,1118,background,rural-regional,7.103898
16.0342091693062,49.7350675478518,163,Y_CZ0ESVR,Svratouch,16.034209,49.735068,735,background,rural-regional,11.822
16.0986183751775,49.3835840668014,164,Y_CZ0JKRI,Krizanov,16.098618,49.383584,525,background,rural-nearcity,15.089
17.8042496042369,49.5870793955151,165,Y_CZ0MBEL,Belotin,17.80425,49.587079,306,background,rural-nearcity,22.236
18.3483591727265,49.5592341541133,166,Y_CZ0TCEL,Celadna,18.348359,49.559234,400,background,rural-nearcity,17.006
14.1702049556565,50.4588324019429,167,Y_CZ0UDOK,Doksany,14.170205,50.458832,158,background,rural-nearcity,17.747
20.7801799991685,40.6259300001269,168,AL0203A,Korca,20.78018,40.62593,848,background,suburban,30.33897
19.5234200005101,42.3139000004756,169,AL0206A,Shkoder,19.52342,42.3139,13,background,urban,13.236321
16.5280600008923,47.8400000005482,170,AT10001,Eisenstadt Laschoberstraße,16.52806,47.84,160,background,suburban,14.568675
14.3180600004713,46.62556000031,171,AT2KA21,Klagenfurt Völkermarkter Straße,14.31806,46.62556,445,background,urban,16.919576
14.2991444441298,46.6266166670509,172,AT2KA71,Klagenfurt Sterneckstraße,14.299144,46.626617,445,background,urban,14.608504
14.8436111118094,46.8350000005499,173,AT2WO15,Wolfsberg Hauptschule,14.843611,46.835,460,background,urban,19.190335
16.330277777464,48.0838888896443,174,AT31413,Wiener Neudorf Hauptstraße,16.330278,48.083889,210,background,suburban,13.965723
15.6341670007456,48.2124999997881,175,AT32301,St. Pölten Eybnerstraße,15.634167,48.2125,270,background,urban,13.97845
16.4744444448251,48.1450000004165,176,AT32701,"Schwechat Sportplatz, Mühlgasse",16.474444,48.145,155,background,suburban,16.251845
13.6322222225948,47.716111111725,177,AT4S125,"Bad Ischl, Rettenbachstraße",13.632222,47.716111,460,background,suburban,9.26586
13.0397222216517,48.2577777783624,178,AT4S156,"Braunau Zentrum, Kolpingplatz",13.039722,48.257778,350,background,urban,12.523505
14.2388888900287,48.2252778000931,179,AT4S404,Traun Tischlerstraße,14.238889,48.225278,274,background,suburban,15.235787
13.6674999998467,48.0008333340631,180,AT4S407,"Vöcklabruck, Untere Agergasse",13.6675,48.000833,420,background,suburban,12.29686
14.4427777772152,48.0494444450325,181,AT4S409,Steyr Münichholz,14.442778,48.049444,305,background,urban,11.781854
15.1527777784438,47.0447222232362,182,AT60107,Voitsberg Mühlgasse,15.152778,47.044722,390,background,urban,14.787564
15.5405555556542,46.7783333336157,183,AT60197,Leibnitz Lastenstraße,15.540556,46.778333,272,background,suburban,19.929107
16.3097499994108,48.2050000004765,184,AT9KEND,Kendlerstraße,16.30975,48.205,236,background,urban,14.100782
16.4583449999998,48.2263608339172,185,AT9STAD,Stadlau,16.458345,48.226361,159,background,urban,14.567044
3.23406610140328,51.2134632171168,186,BEGBB15,26BB15 - BRUGGE,3.234066,51.213463,5,background,urban,12.944598
3.72929817179046,51.0583317176733,187,BEGR701,26R701 - GENT,3.729298,51.058332,5,background,urban,14.640805
4.43182104665007,51.2096625320389,188,BEGR801,26R801 - BORGERHOUT,4.431821,51.209663,6,background,urban,14.81268
4.4913620277736,51.2521034131353,189,BEGR811,26R811 - SCHOTEN,4.491362,51.252103,8,background,suburban,13.718232
4.32182021469567,51.3407274935133,190,BELAB02,40AB02 - BERENDRECHT,4.32182,51.340727,10,background,suburban,13.09626
4.38522368474127,51.2361942013866,191,BELAL01,40AL01 - LINKEROEVER,4.385224,51.236194,10,background,suburban,13.189466
4.34100506439972,51.1702980402579,192,BELHB23,40HB23 - HOBOKEN,4.341005,51.170298,13,background,suburban,14.934121
3.10964187433129,50.7934690454798,193,BELMN01,40MN01 - MENEN,3.109642,50.793469,10,background,suburban,13.435091
3.12115559839585,50.9531772814629,194,BELRL01,40RL01 - ROESELARE,3.121156,50.953177,20,background,suburban,13.367502
4.51218434634045,50.9130204247179,195,BELSZ02,40SZ02 - STEENOKKERZ,4.512184,50.91302,15,background,suburban,13.040427
4.28833636677795,50.858030594951,196,BETB011,41B011 - BERCHEM S.A,4.288336,50.858031,30,background,suburban,12.665909
5.54746418259141,50.6249915708197,197,BETH201,43H201 - LIEGE,5.547464,50.624992,160,background,suburban,10.52111
5.61114976316206,50.6119227083874,198,BETM204,43M204 - ANGLEUR,5.61115,50.611923,70,background,suburban,10.300577
4.39271769764103,50.8951005639201,199,BETMEU1,41MEU1 - MEUDON,4.392718,50.895101,50,background,suburban,15.115963
4.8376180160585,50.9775413790505,200,BETN035,42N035 - AARSCHOT,4.837618,50.977541,55,background,suburban,13.434084
5.36837853139112,50.9397118663737,201,BETN045,42N045 - HASSELT,5.368379,50.939712,41,background,suburban,13.466545
3.32249431940761,50.8148738713382,202,BETN052,44N052 - ZWEVEGEM,3.322494,50.814874,27,background,suburban,14.683366
3.93971432473081,50.4651921580296,203,BETN070,43N070 - MONS,3.939714,50.465192,30,background,suburban,12.551983
4.33381970814003,50.8496654894063,204,BETR001,41R001 - MOLENBEEK,4.33382,50.849665,15,background,urban,14.705634
4.35853885552734,50.7966316392667,205,BETR012,41R012 - UCCLE,4.358539,50.796632,100,background,suburban,14.419126
4.43672076363686,50.9413871154008,206,BETR020,42R020 - VILVOORDE,4.436721,50.941387,12,background,suburban,14.460037
5.62783529043824,50.6584444181783,207,BETR221,43R221 - LIEGE,5.627835,50.658444,65,background,urban,11.341185
5.57022281436332,50.6134125030261,208,BETR222,43R222 - SERAING,5.570223,50.613413,65,background,suburban,10.924992
4.4521717802355,50.4093114536371,209,BETR501,45R501 - CHARLEROI,4.452172,50.409311,115,background,urban,12.842754
4.45868085869822,50.4289953939716,210,BETR502,45R502 - LODELINSART,4.458681,50.428995,135,background,suburban,12.737044
4.52113020741928,50.4164333611123,211,BETR510,45R510 - CHATELINEAU,4.52113,50.416433,118,background,suburban,12.025819
